"","author","text"
"33","JackPosobiec","['Commander Xi Jinpilled and Mecha-ddafi  liked', 'Jack Posobiec ', '@JackPosobiec', '·', '412', '865', '3,310']"
"34","JackPosobiec","['Commander Xi Jinpilled and Mecha-ddafi  liked', 'Jack Posobiec ', '@JackPosobiec', '·', '418', '878', '3,382']"
"35","JackPosobiec","['LisaUltra MAGAPatriot  liked', 'Jack Posobiec ', '@JackPosobiec', '·', 'Ron DeSantis is CANCELLED', '363', '158', '1,495']"
"36","JackPosobiec","['Commander Xi Jinpilled and Mecha-ddafi  liked', 'Jack Posobiec ', '@JackPosobiec', '·', '432', '923', '3,573']"
"37","RandPaul","['Rand Paul Retweeted', 'Rand Paul', 'Tea Party Patriots', '@TPPatriots', '·', ' Sen. @RandPaul blasts Anthony Fauci for trying to hide his communication(s) with Big-Tech companies:\n\n""I think that all of America should be appalled that America\'s doctor...doesn\'t want to divulge his communications with Big Tech...""', '@RandPaul', 'foxnews.com', ""Rand Paul blasts Fauci after judge demands 'misinformation' emails: 'America should be appalled'"", 'Sen. Rand Paul, R-Ky., sounds off on ""Jesse Watters Primetime"" following a Louisiana judge\'s order for Dr. Anthony Fauci and Karine Jean-Pierre to release emails.', '9', '104', '316']"
"38","RandPaul","['Rand Paul Retweeted', 'Rand Paul', 'Tea Party Patriots', '@TPPatriots', '·', ' Sen. @RandPaul blasts Anthony Fauci for trying to hide his communication(s) with Big-Tech companies:\n\n""I think that all of America should be appalled that America\'s doctor...doesn\'t want to divulge his communications with Big Tech...""', '@RandPaul', 'foxnews.com', ""Rand Paul blasts Fauci after judge demands 'misinformation' emails: 'America should be appalled'"", 'Sen. Rand Paul, R-Ky., sounds off on ""Jesse Watters Primetime"" following a Louisiana judge\'s order for Dr. Anthony Fauci and Karine Jean-Pierre to release emails.', '37', '254', '844']"
"39","RandPaul","['Rand Paul Retweeted', 'Rand Paul', 'Fox News', '@FoxNews', '·', '.@RandPaul blasts DC priorities: No one hit by severe Kentucky floods asked me to send more foreign aid', '@RandPaul', 'foxnews.com', 'Rand Paul blasts DC priorities: No one hit by severe Kentucky floods asked me to send more foreign...', 'Kentucky Republican Sen. Rand Paul sounded off on ""The Ingraham Angle"" against establishment Washington\'s priorities amid Americans\' multiple struggles.', '161', '394', '2,121']"
"40","guypbenson","['Guy Benson Retweeted', 'Guy Benson', 'Mollie', '@MZHemingway', '·', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard… #FoxNews"", 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', 'foxnews.com', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '384', '608', '3,679']"
"41","newtgingrich","['Newt Gingrich Retweeted', 'Newt Gingrich', 'Callista Gingrich', '@CallyGingrich', '·', 'Making progress in Naples ', '6', '4', '51']"
"42","TomiLahren","['Trevor Bauer (トレバー・バウアー) liked', 'Tomi Lahren', '@TomiLahren', '·', 'Weird……', 'Quote Tweet', 'Trevor Bauer (トレバー・バウアー)', '@BauerOutage', ' · 9h', 'This was taken hours after I supposedly brutally assaulted this woman, when she claims she was terrified and desperate to get out of my house and in tremendous pain. twitter.com/just_krissy19/…', '21', '33', '385']"
"43","JackPosobiec","['NO JUSTICE NO SLEEP POSO ', '@JackPosobiec', '·', 'This stuff is funny and all but it’s not a coherent border strategy', 'Quote Tweet', 'Insider Paper', '@TheInsiderPaper', ' · 5h', 'NEW  Two migrant buses from Texas arrive outside VP Kamala Harris residence', 'Show this thread', '646', '865', '5,260']"
"44","jaywillis","['Eliza Orlins liked', 'Jay Willis', '@jaywillis', '·', 'Lol there’s not a single number in here to support any of the claims, and the entire “report” is just aggregating a police union official’s appearance on ‘Fox & Friends,’ come on man', 'Quote Tweet', 'David Rose', '@DavidRoseFOX13', ' · Sep 14', ""Seattle police staffing drops to 30-year low, officers leaving in 'droves' after defunding https://q13fox.com/news/seattle-police-staffing-drops-to-30-year-low-officers-leaving-in-droves-after-defunding… @fox13seattle"", 'https://q13fox.com/news/seattle-police-staffing-drops-to-30-year-low-officers-leaving-in-droves-after-defunding…', '@fox13seattle', '5', '56', '281', 'Show this thread']"
"45","GriffJenkins","['Emily Jashinsky and Saagar Enjeti follow', 'Griff Jenkins', '@GriffJenkins', '·', 'BREAKING: Two buses of 101 migrants mostly from Venezuela arrive outside @VP Harris house in DC sent by @GregAbbott_TX - one migrant telling me he believes the border is “open” @FoxNews', '@VP', '@GregAbbott_TX', '@FoxNews', '2,885', '6,929', '19.9K']"
"46","JackPosobiec","['NO JUSTICE NO SLEEP POSO ', '@JackPosobiec', '·', 'Why is Martha’s Vineyard so upset about becoming enriched by diversity?', '715', '4,556', '22K']"
"47","GriffJenkins","['Delta Warrior liked', 'Griff Jenkins', '@GriffJenkins', '·', 'BREAKING: Two buses of 101 migrants mostly from Venezuela arrive outside @VP Harris house in DC sent by @GregAbbott_TX - one migrant telling me he believes the border is “open” @FoxNews', '@VP', '@GregAbbott_TX', '@FoxNews', '3,786', '9,321', '27K']"
"48","TomiLahren","['Joe Rogan and Killer Mike follow', 'Tomi Lahren', '@TomiLahren', '·', 'With each passing day I am more and more sure of my decision to remain un-COVID-vaxxed. Y’all jab up if YOU want but as for me, hell to the no no no.', '3,533', '1,317', '12.7K']"
"49","ChristinaPushaw","['George Alexopoulos liked', 'Christina Pushaw  ', '@ChristinaPushaw', '·', 'Martha’s Vineyard residents should be thrilled about this. They vote for sanctuary cities — they get a sanctuary city of their own. And illegal aliens will increase the town’s diversity, which is strength. Right? \n\n https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard… #FoxNews', 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', 'foxnews.com', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '1,875', '3,577', '15.9K']"
"50","JackPosobiec","['Ian Miles Cheong liked', 'NO JUSTICE NO SLEEP POSO ', '@JackPosobiec', '·', 'Why is Martha’s Vineyard so upset about becoming enriched by diversity?', '899', '6,019', '29.1K']"
"51","DaddyDawg_2","['DaddyDawg2 Retweeted', 'DaddyDawg2', 'Fox News', '@FoxNews', '·', 'Fox News Poll: Majority says Biden administration incompetent', 'foxnews.com', 'A new Fox News Poll shows inflation as the major concern for voters and the Biden administration no longer seen as competent regarding the issue.', '228', '223', '1,037']"
"52","TomiLahren","['Joe Rogan and Killer Mike follow', 'Tomi Lahren', '@TomiLahren', '·', 'With each passing day I am more and more sure of my decision to remain un-COVID-vaxxed. Y’all jab up if YOU want but as for me, hell to the no no no.', '541', '325', '2,951']"
"53","MichaelRapaport","['MichaelRapaport Retweeted', 'MichaelRapaport', 'Bill Melugin', '@BillFOXLA', '·', 'NEW: Florida Governor Ron DeSantis sent two planes full of migrants who crossed the border illegally to Martha’s Vineyard today.', 'foxnews.com', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '524', '1,204', '5,068']"
"54","Cernovich","['Thomas Sowell Quotes and COMICARTISTPRO SECRETS follow', 'Cernovich', '@Cernovich', '·', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'foxnews.com', 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '547', '1,317', '7,786']"
"55","JackPosobiec","['NO JUSTICE NO SLEEP POSO ', '@JackPosobiec', '·', 'Why is Martha’s Vineyard so upset about becoming enriched by diversity?', '1,001', '6,770', '33.1K']"
"56","MichaelRapaport","['MichaelRapaport Retweeted', 'MichaelRapaport', 'Fox News', '@FoxNews', '·', ""BREAKING: 2 migrant buses arrive outside Vice President Kamala Harris' Naval Observatory residence in DC"", 'foxnews.com', ""2 migrant buses arrive outside Vice President Kamala Harris' Naval Observatory residence in DC"", ""Two buses carrying migrants from Del Rio, Texas, arrived outside Vice President Kamala Harris' residence at the Naval Observatory in Washington, D.C., Thursday."", '897', '986', '6,138']"
"57","FoxNews","['Fox News', '@FoxNews', '·', ""Oprah says Queen Elizabeth II's death could be 'peacemaking' opportunity for Meghan, Harry and royal family"", 'foxnews.com', ""Oprah says Queen Elizabeth II's death could be 'peacemaking' opportunity for Meghan, Harry and..."", 'Oprah Winfrey believes Queen Elizabeth II\'s death could be an ""opporunity of peacemaking"" for the royal family. Prince William, Prince Harry and wives made a public appearance Saturday.', '596', '65', '221']"
"58","redsteeze","['Stephen L. Miller', '@redsteeze', '·', 'No human is illegal.', 'Quote Tweet', 'Lesley Abravanel ', '@lesleyabravanel', ' · 13h', ""Revolting Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard | Fox News #RemoveRon  https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…"", '#RemoveRon', 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', '7', '13', '70']"
"59","Moms4EDFreedom","['Moms for #EducationFreedom & #FAPE', '@Moms4EDFreedom', '·', 'Biden’s controversial Title IX rule bombarded with record number of comments from concerned parents', 'foxnews.com', ""Parents are fired up over President Biden's proposed changes for Title IX, leaving a record number of public comments about the inclusion of gender identity."", '', '2']"
"60","Moms4EDFreedom","['Moms for #EducationFreedom & #FAPE', '@Moms4EDFreedom', '·', 'Biden’s controversial Title IX rule bombarded with record number of comments from concerned parents', 'foxnews.com', ""Parents are fired up over President Biden's proposed changes for Title IX, leaving a record number of public comments about the inclusion of gender identity."", '', '2']"
"61","peterjhasson","['Peter J. Hasson Retweeted', 'Peter J. Hasson', 'Cameron Cawthorne', '@Cam_Cawthorne', '·', ""Biden's new clean energy czar John Podesta said he has the “highest regard” for a top CCP official during a 2013 luncheon and called that same official his “friend” in a 2015 email\n\nReporting from @JessicaChasmar and me"", '@JessicaChasmar', 'foxnews.com', ""Biden's new clean energy czar said he has the 'highest regard' for CCP official, called him 'friend'"", ""President Biden's new senior adviser on clean energy, longtime Democrat John Podesta, has close ties to top Chinese Communist Party (CCP) official Tung Chee-hwa."", '1', '7', '8', 'Show this thread']"
"62","cvpayne","['Charles V Payne received a reply', 'Charles V Payne', '@cvpayne', '·', 'I worked on Wall Street.\nI watched towers collapse from window not TV.\nThe smell of death lingered when we returned to the office.\nHeroic efforts, selflessness and unified purpose were inspiring.\nWe must never forget what happened & how we responded.', '91', '432', '2,852']"
"63","henryolsenEPPC","['Henry Olsen Retweeted', 'Henry Olsen', 'John McCormack', '@McCormackJohn', '·', ""At 15 weeks, “Your baby is looking more like a little person, with eyelids, eyebrows, eyelashes, nails, hair, & well-defined fingers and toes. If you could see inside your womb, you'd catch your baby sucking a thumb, yawning, stretching, and making faces” https://babycenter.com/pregnancy/week-by-week/15-weeks-pregnant…"", 'https://babycenter.com/pregnancy/week-by-week/15-weeks-pregnant…', 'Quote Tweet', ' · 1h', 'Poll from May found Americans back a 15-week limit on abortion 54% to 41% \n\nhttps://static.foxnews.com/foxnews.com/content/uploads/2022/05/Fox_April-28-May-1-2022_National_Topline_May-3-Release.pdf…\n\nhttps://twitter.com/CAKitchener/status/1569499757902700544?s=20&t=y2SpeOwHCWU_z2GJQWTdxg…', 'https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Fox_April-28-May-1-2022_National_Topline_May-3-Release.pdf…', 'https://twitter.com/CAKitchener/status/1569499757902700544?s=20&t=y2SpeOwHCWU_z2GJQWTdxg…', '3', '17', '27']"
"64","FoxNews","['Fox News', '@FoxNews', '·', 'Lawyer for Britt Reid crash victim slams plea deal for ex-Chiefs coach', 'foxnews.com', 'Former Kansas City Chiefs coach Britt Reid pleaded guilty to to felony driving while intoxicated resulting in serious physical injury stemming from a 2021 crash that left a girl serious injured.', '']"
"65","henryolsenEPPC","['Henry Olsen Retweeted', 'Henry Olsen', 'John McCormack', '@McCormackJohn', '·', ""At 15 weeks, “Your baby is looking more like a little person, with eyelids, eyebrows, eyelashes, nails, hair, & well-defined fingers and toes. If you could see inside your womb, you'd catch your baby sucking a thumb, yawning, stretching, and making faces” https://babycenter.com/pregnancy/week-by-week/15-weeks-pregnant…"", 'https://babycenter.com/pregnancy/week-by-week/15-weeks-pregnant…', 'Quote Tweet', ' · 1h', 'Poll from May found Americans back a 15-week limit on abortion 54% to 41% \n\nhttps://static.foxnews.com/foxnews.com/content/uploads/2022/05/Fox_April-28-May-1-2022_National_Topline_May-3-Release.pdf…\n\nhttps://twitter.com/CAKitchener/status/1569499757902700544?s=20&t=y2SpeOwHCWU_z2GJQWTdxg…', 'https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Fox_April-28-May-1-2022_National_Topline_May-3-Release.pdf…', 'https://twitter.com/CAKitchener/status/1569499757902700544?s=20&t=y2SpeOwHCWU_z2GJQWTdxg…', '2', '16', '26']"
"66","henryolsenEPPC","['Henry Olsen Retweeted', 'Henry Olsen', 'John McCormack', '@McCormackJohn', '·', ""At 15 weeks, “Your baby is looking more like a little person, with eyelids, eyebrows, eyelashes, nails, hair, & well-defined fingers and toes. If you could see inside your womb, you'd catch your baby sucking a thumb, yawning, stretching, and making faces” https://babycenter.com/pregnancy/week-by-week/15-weeks-pregnant…"", 'https://babycenter.com/pregnancy/week-by-week/15-weeks-pregnant…', 'Quote Tweet', ' · 1h', 'Poll from May found Americans back a 15-week limit on abortion 54% to 41% \n\nhttps://static.foxnews.com/foxnews.com/content/uploads/2022/05/Fox_April-28-May-1-2022_National_Topline_May-3-Release.pdf…\n\nhttps://twitter.com/CAKitchener/status/1569499757902700544?s=20&t=y2SpeOwHCWU_z2GJQWTdxg…', 'https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Fox_April-28-May-1-2022_National_Topline_May-3-Release.pdf…', 'https://twitter.com/CAKitchener/status/1569499757902700544?s=20&t=y2SpeOwHCWU_z2GJQWTdxg…', '2', '16', '25']"
"67","FOX2now","['FOX2now', '@FOX2now', '·', 'St. Louis County Republicans select Mark Mantovani to challenge Sam Page for County Executive', 'fox2now.com', 'The St. Louis County Republican Central Committee met Monday in Fenton to select a new candidate for St. Louis County Executive.\xa0', '']"
"68","FOX2now","['FOX2now', '@FOX2now', '·', 'Martin Luther King Jr. statue knocked over across from Capitol', 'fox2now.com', 'The Martin Luther King Jr. Statue across from the Capitol was “toppled over” Sunday night according to the Secretary of State’s Office.', '2', '1']"
"69","FOX2now","['FOX2now', '@FOX2now', '·', 'Cardinals and Blues have synergy', 'fox2now.com', 'Fox 2 Sports reporter Kevin Ryans was at the annual Blues charity golf tournament on Monday. While interviewing players he discovered The Blues are in sync with the Cardinals and their upcoming pla…', '']"
"70","FOX2now","['FOX2now', '@FOX2now', '·', 'St. Louis family wants answers after 16-year-old was shot and killed by two undercover officers', 'fox2now.com', 'The family of a 16-year-old boy is seeking answers after two St. Louis undercover officers fatally shot him outside a gas station Sunday night.', '9', '5', '3']"
"71","FOX2now","['FOX2now', '@FOX2now', '·', 'McCaskill: Democratic Party has an age problem', 'fox2now.com', 'Former Sen. Claire McCaskill (D-Mo.) said on Sunday that she believes the Democratic Party has an age problem as November’s midterm elections loom.\xa0 During an appearance on NBC’s “Meet the Pre…', '2', '3', '9']"
