StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Consent	SurveyCode	QID1	Q2	Q3	Q4	Q5	Q6	Q7_1	Q7_2	Q7_3	Q7_4	Q7_5	Q8_1	Q8_2	Q10_1	Q10_2	Q12_1	Q12_2	Q12_3	Q13_1	Q13_2	Q13_3	Q13_4	Q14	Q15	Q16	ResponseID	RandomID
2022-04-25 21:30:04	2022-04-25 21:35:00	0	76.107.77.40	100	296	1	2022-04-25 21:35:00	R_4JB44GsXttrcrM5					32.4699	-90.1102	anonymous	EN	1	tft_ic0_A1PAY3X73PQ16S	2	1	4	4	1	5	4	4	4	1	4	90	20	5	3	3	2	5	5	5	4	3	4	3		R_4JB44GsXttrcrM5	641705
2022-04-26 0:29:43	2022-04-26 0:37:33	0	199.114.218.102	100	470	1	2022-04-26 0:37:33	R_1IDTgsIrZKv38ch					40.1104	-83.1131	anonymous	EN	1	tft_ic0_AS4FVWL91C6HR	2	1	3	2	2	5	1	1	1	1		56	50	4	4	3	3	3	4	4	4	3	3	2		R_1IDTgsIrZKv38ch	820140
2022-04-26 5:43:24	2022-04-26 5:49:53	0	208.218.225.33	100	389	1	2022-04-26 5:49:54	R_1pyWk3cKwlMADU1					40.8023	-73.7329	anonymous	EN	1	tft_ic0_A1ABVY93X497CB	1	1	5	4	1	4	2	2	2	2	2	84	51	4	4	4	4	5	4	4	4	5	1	1		R_1pyWk3cKwlMADU1	153643
2022-04-26 6:09:13	2022-04-26 6:12:07	0	185.162.74.216	100	174	1	2022-04-26 6:12:08	R_Y6covIQRO2gxVg5					39.018	-77.539	anonymous	EN	1	tft_ic0_A2GKVQ1B4BRESD	2	1	5	2	2	4	5	6	7	6	6	77	31	5	5	5	5	4	4	5	5	5	3	3		R_Y6covIQRO2gxVg5	315046
2022-04-26 6:10:36	2022-04-26 6:13:50	0	45.61.175.152	100	194	1	2022-04-26 6:13:51	R_28S2PvhQaMrVNVo					40.7876	-74.06	anonymous	EN	1	tft_ic0_A25LJLPAY1FTI4	1	1	1	2	2	3	4	5	6	5	6	64	30	3	5	3	4	5	3	4	3	5	2	2		R_28S2PvhQaMrVNVo	543567
2022-04-26 6:27:16	2022-04-26 6:38:18	0	69.127.161.171	100	661	1	2022-04-26 6:38:19	R_124OvhKZRWOdGQL					40.8703	-73.8525	anonymous	EN	1	tft_ic0_AFJFYJZ849YOZ	1	1	5	1	1	2	2	5	7	2	4	91	1	7	1	4	4	5	5	5	5	2	2	3		R_124OvhKZRWOdGQL	574158
2022-04-26 7:39:50	2022-04-26 7:44:54	0	209.40.114.199	100	303	1	2022-04-26 7:44:54	R_9MN1VDcbH4QKgnv					39.0469	-77.4903	anonymous	EN	1	tft_ic0_A13BLDQTF9VB6Y	1	1	1	2	2	4	1	2	5	1	4	80	77	3	2	5	4	5	5	4	3	3	4	1		R_9MN1VDcbH4QKgnv	967202
2022-04-26 8:19:04	2022-04-26 8:23:08	0	174.106.181.250	100	243	1	2022-04-26 8:23:08	R_1mdP2OyNzduBJY2					35.0352	-76.7016	anonymous	EN	1	tft_ic0_AOQC2B77YF8ON	2	1	4	3	1	3	4	5	6	2	3	61	39	5	3	3	3	4	3	4	4	3	3	3		R_1mdP2OyNzduBJY2	552481
2022-04-26 11:03:34	2022-04-26 11:14:27	0	216.39.37.176	100	652	1	2022-04-26 11:14:27	R_337mP1uNaCWwxgo					39.2842	-76.6918	anonymous	EN	1	tft_ic0_A18FY0P87H4A5O	1	1	5	2	1	4	1	2	2	1	1	91	59	5	1	4	5	4	5	4		2	1	2		R_337mP1uNaCWwxgo	814901
2022-04-26 11:50:12	2022-04-26 11:55:23	0	73.228.1.241	100	311	1	2022-04-26 11:55:23	R_1l3pt8Y66oaYS42					32.3142	-106.7976	anonymous	EN	1	tft_ic0_A1G55MW11IPG4	1	1	5	2	2	4	1	1	3	1	1	91	61	2	1	5	4	4	5	5	4	4	1	1		R_1l3pt8Y66oaYS42	242409
2022-04-26 11:55:12	2022-04-26 12:20:19	0	208.218.231.226	100	1507	1	2022-04-26 12:20:20	R_30k0OjBHf5NTIUk					39.9703	-75.0617	anonymous	EN	1	tft_ic0_A3F3B0ZWN87QPI	1	1	2	2	2	4	1	1	2	1	2	64	73	4	3	4	5	4	5	4	4	5	2	1		R_30k0OjBHf5NTIUk	149190
2022-04-27 14:16:36	2022-04-27 14:20:29	0	185.202.220.13	100	233	1	2022-04-27 14:20:30	R_1GQ7JCSDyFHneM7					40.7876	-74.06	anonymous	EN	1	tft_ic0_WorkerID832	3	1	4	1	4	3	7	7	7	1	7	86	39	7	4	2	4	5	5	5	5	5	2	3		R_1GQ7JCSDyFHneM7	184805
