StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q8_1,Q8_2,Q10_1,Q10_2,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15,Q19,Q20,Q16,ResponseID,RandomID
2022-04-21 11:57:16,2022-04-21 11:59:52,0,209.185.41.144,100,156,1,2022-04-21 11:59:52,R_3R8V7AMcP1tSWVV,,,,,41.8882,-87.6164,anonymous,EN,1,90,40,2,5,4,5,5,4,5,4,4,3,2,NO,"It was good ",,R_3R8V7AMcP1tSWVV,563564
2022-04-21 13:24:08,2022-04-21 13:25:33,0,71.231.35.214,100,85,1,2022-04-21 13:25:34,R_1mDZ9aKFL1Gp5bH,,,,,47.8534,-122.2438,anonymous,EN,1,38,68,3,4,5,5,5,1,1,1,1,5,4,Nothing really that changed my opinion.,,,R_1mDZ9aKFL1Gp5bH,470067
2022-04-24 15:57:47,2022-04-24 16:00:12,0,75.41.166.226,100,144,1,2022-04-24 16:00:12,R_3QYk0aYPeIN7Bb0,,,,,35.2804,-98.9474,anonymous,EN,1,15,81,2,5,2,2,1,3,1,1,1,1,3,"I havent been using twitte in the browser alot, but I tried to use it more this past week. I didnt nothing any difference, specifically","No feedback, everything was smooth. Thank you",,R_3QYk0aYPeIN7Bb0,169109
2022-04-24 15:59:03,2022-04-24 16:00:27,0,208.218.228.191,100,83,1,2022-04-24 16:00:27,R_2alhsa6jPe1aEKD,,,,,40.5175,-74.3991,anonymous,EN,1,80,91,6,4,3,4,5,4,5,5,5,3,2,nice,good,,R_2alhsa6jPe1aEKD,724100
2022-04-24 15:58:13,2022-04-24 16:10:44,0,154.9.128.152,100,751,1,2022-04-24 16:10:44,R_qxpRtEdm0MqnbTr,,,,,47.3066,-122.2619,anonymous,EN,1,50,45,4,4,4,3,4,3,4,5,1,2,3,none,no,,R_qxpRtEdm0MqnbTr,729115
2022-04-24 15:59:11,2022-04-24 16:12:43,0,208.219.17.152,100,812,1,2022-04-24 16:12:43,R_wYMlbHxvIqWRpAJ,,,,,45.5411,-122.5605,anonymous,EN,1,92,32,5,2,5,3,5,5,4,5,5,3,1,no,no,,R_wYMlbHxvIqWRpAJ,398878
2022-04-24 16:05:34,2022-04-24 16:13:09,0,81.161.6.17,100,455,1,2022-04-24 16:13:09,R_sX0MzInHJ3MQtdD,,,,,40.7662,-74.0178,anonymous,EN,1,92,22,6,1,5,3,4,5,5,3,4,2,1,NO,None,,R_sX0MzInHJ3MQtdD,931169
2022-04-24 16:09:37,2022-04-24 16:15:54,0,81.161.4.117,100,376,1,2022-04-24 16:15:54,R_2WAahpN3Z4Dk74w,,,,,40.7662,-74.0178,anonymous,EN,1,92,12,1,3,5,5,3,5,4,3,4,2,1,nothing,None,,R_2WAahpN3Z4Dk74w,934576
2022-04-24 17:25:06,2022-04-24 17:26:43,0,50.106.251.160,100,96,1,2022-04-24 17:26:43,R_3LZLgI9y02KCvpw,,,,,40.4693,-88.9424,anonymous,EN,1,80,19,4,4,4,2,5,5,4,1,2,2,3,"Some of my things were public that I didn't remember, but otherwise not much.",,,R_3LZLgI9y02KCvpw,392117
2022-04-24 18:08:42,2022-04-24 18:11:51,0,104.244.145.154,100,189,1,2022-04-24 18:11:52,R_2tc0eiEpdM7i67b,,,,,32.1484,-85.7264,anonymous,EN,1,0,0,7,6,4,4,5,,1,5,1,4,3,none,I do not.,,R_2tc0eiEpdM7i67b,548598
2022-04-24 18:24:00,2022-04-24 18:27:57,0,69.246.77.242,100,237,1,2022-04-24 18:27:57,R_Yc9BDxA06M5xK8h,,,,,32.3974,-93.8052,anonymous,EN,1,70,55,5,4,4,3,5,3,5,5,3,3,3,I did not notice any changes to my twitter experience.,I enjoyed participating in this. Thank you! I hope that you have a great day!,,R_Yc9BDxA06M5xK8h,664860
2022-04-24 18:38:05,2022-04-24 18:39:32,0,108.202.77.206,100,87,1,2022-04-24 18:39:32,R_1Lw0ZFKMO8Q0Oeu,,,,,38.1043,-122.2442,anonymous,EN,1,10,90,2,6,4,4,5,2,1,3,2,1,4,none,no,,R_1Lw0ZFKMO8Q0Oeu,831904
2022-04-24 20:18:13,2022-04-24 20:18:53,0,74.122.56.129,100,39,1,2022-04-24 20:18:53,R_1dugf3SceYRQk81,,,,,39.0469,-77.4903,anonymous,EN,1,72,86,4,5,2,3,4,4,5,3,4,3,2,10,,,R_1dugf3SceYRQk81,249506
2022-04-24 20:44:39,2022-04-24 20:45:57,0,70.175.113.145,100,78,1,2022-04-24 20:45:58,R_3r3dRIXgdxNX9Ye,,,,,33.5982,-112.3724,anonymous,EN,1,81,15,6,1,5,3,3,5,5,5,3,2,1,No changes,no,,R_3r3dRIXgdxNX9Ye,142275
2022-04-24 21:18:20,2022-04-24 21:24:41,0,107.202.185.169,100,381,1,2022-04-24 21:24:42,R_26i5sFBoFrBz6Pc,,,,,41.8879,-88.1995,anonymous,EN,1,90,2,6,2,4,3,,2,,5,3,4,2,I found myself a bit more cognizant of what I was reading (and whether certain posts were true).,"I found the instructions clear, and installing the extension relatively easy. As such, I would leave the study as-is.",,R_26i5sFBoFrBz6Pc,429958
2022-04-24 23:37:45,2022-04-24 23:40:05,0,68.185.201.133,100,140,1,2022-04-24 23:40:05,R_2zJaM9ovUFx5vIq,,,,,33.1452,-97.0699,anonymous,EN,1,100,75,6,2,5,4,5,5,5,5,5,5,1,No changes,No,,R_2zJaM9ovUFx5vIq,159073
2022-04-25 04:30:44,2022-04-25 04:33:45,0,208.207.182.169,100,181,1,2022-04-25 04:33:46,R_3hfrDrJe92k8yjO,,,,,40.5978,-74.0001,anonymous,EN,1,90,0,7,4,5,4,5,5,4,,5,3,2,none,no comments,,R_3hfrDrJe92k8yjO,883803
2022-04-25 22:33:39,2022-04-25 22:35:39,0,81.161.4.166,100,119,1,2022-04-25 22:35:39,R_pRxfanleteeUEdr,,,,,40.7662,-74.0178,anonymous,EN,1,85,62,2,1,5,4,5,4,5,4,5,1,1," font and design changes to its web and mobile apps",CONFER WITH STUDENTS. ... USE A ONE-TO-ONE RATIO,,R_pRxfanleteeUEdr,797345
2022-04-25 19:30:52,2022-04-26 07:41:28,0,100.12.176.43,100,43836,1,2022-04-26 07:41:28,R_1N3Q8Zkee1Wevot,,,,,40.7465,-73.909,anonymous,EN,1,0,9,5,6,3,3,4,3,1,3,1,2,3,"Honestly, I don't think I noticed anything notably different from my usual experience. I am always inundated with vast amount of insane liberal stances that not only are unrealistic, but simply don't make sense and cause great harm to more people than it purportedly does to the small favored group that liberals bend over backwards to please.","No not really. This study was well-designed, non-invasive despite the extension installation, and overall well run",,R_1N3Q8Zkee1Wevot,639290
2022-04-26 09:15:44,2022-04-26 09:16:39,0,74.122.57.171,100,54,1,2022-04-26 09:16:39,R_BXRqMiHUxybBjnr,,,,,39.0469,-77.4903,anonymous,EN,1,84,51,5,5,2,2,3,3,4,4,4,1,1,to put more news about the democrates,no,,R_BXRqMiHUxybBjnr,947911
2022-04-26 09:31:05,2022-04-26 09:35:47,0,73.24.61.188,100,282,1,2022-04-26 09:35:48,R_1FkTgFOYcFPUx6J,,,,,34.674,-92.357,anonymous,EN,1,21,90,4,4,4,1,5,3,5,2,1,3,3,easier to find people,The instructions where explained well,,R_1FkTgFOYcFPUx6J,811717
2022-04-26 09:41:42,2022-04-26 09:42:33,0,50.231.89.126,100,51,1,2022-04-26 09:42:33,R_2tgHw2Jmgz1JbdC,,,,,40.7597,-73.981,anonymous,EN,1,77,51,5,5,2,3,4,4,4,4,5,1,1,to change the news options,,,R_2tgHw2Jmgz1JbdC,915104
2022-04-30 07:52:11,2022-04-30 07:59:45,0,180.191.149.119,100,453,1,2022-04-30 07:59:45,R_3EQfnUhRNF8ZgwA,,,,,7.0712,125.6089,anonymous,EN,1,32,90,4,4,4,5,4,4,5,5,2,2,2,If I want changes in my Twitter experience is more tools to be added to protect your privacy and more.,First it was hard but after reading it carefully and it was easy.,,R_3EQfnUhRNF8ZgwA,291607
2022-04-30 07:59:06,2022-04-30 08:02:53,0,209.212.61.77,100,227,1,2022-04-30 08:02:54,R_XMxCQhooJv4XNgl,,,,,39.5102,-104.7216,anonymous,EN,1,23,23,4,4,4,4,5,3,4,4,1,2,3,No changes,"None, it was easy.",,R_XMxCQhooJv4XNgl,410037
2022-04-30 08:04:02,2022-04-30 08:04:49,0,103.27.77.84,100,46,1,2022-04-30 08:04:49,R_3iW0mgICfDbeSTH,,,,,39.018,-77.539,anonymous,EN,1,64,61,3,4,2,4,3,2,4,,3,2,2,No,,,R_3iW0mgICfDbeSTH,419214
2022-04-30 07:56:21,2022-04-30 08:05:45,0,24.250.53.121,100,564,1,2022-04-30 08:05:46,R_1JDc0S7laiLOcoQ,,,,,41.886,-71.3457,anonymous,EN,1,69,68,5,3,4,4,4,2,4,5,4,3,2,that it felt a bit repetitive again,"n/a! loved it ",,R_1JDc0S7laiLOcoQ,490184
2022-04-30 08:04:21,2022-04-30 08:06:09,0,50.106.218.52,100,107,1,2022-04-30 08:06:09,R_2zwlkPaDfMHdBQc,,,,,39.7343,-90.2291,anonymous,EN,1,71,29,4,4,4,2,5,5,2,1,1,2,4,"none, really, I thought maybe the order had changed?","no, it was all pretty smooth. Although I don't remember being prompted to uninstall.",,R_2zwlkPaDfMHdBQc,432521
2022-04-30 08:08:52,2022-04-30 08:10:57,0,73.131.133.185,100,125,1,2022-04-30 08:10:58,R_wM3DTKrVtZS7oo9,,,,,32.9918,-80.1187,anonymous,EN,1,65,35,5,3,2,2,2,4,5,4,1,3,2,I didn't notice anything different.,"I found it very easy to install the extension and I had no problem with any of the instructions. So my feedback would be, great job and keep doing what you're doing.",,R_wM3DTKrVtZS7oo9,594557
2022-04-30 08:05:05,2022-04-30 08:11:18,0,45.61.175.152,100,373,1,2022-04-30 08:11:18,R_1dMjdO2oGJ8goCi,,,,,40.7876,-74.06,anonymous,EN,1,61,39,5,6,3,3,3,2,3,4,3,3,2,No changes,,,R_1dMjdO2oGJ8goCi,774531
2022-04-30 08:10:31,2022-04-30 08:13:32,0,208.218.227.136,100,180,1,2022-04-30 08:13:32,R_1mkqQzQk5y7Vqz4,,,,,40.8023,-73.7329,anonymous,EN,1,0,52,5,1,5,2,4,5,3,4,1,1,1,no change but update in twitter account and security,yes,,R_1mkqQzQk5y7Vqz4,488927
2022-04-30 08:14:17,2022-04-30 08:15:00,0,50.231.89.126,100,42,1,2022-04-30 08:15:01,R_rke19eauelul4hX,,,,,40.7597,-73.981,anonymous,EN,1,65,49,4,4,4,4,5,4,4,4,5,1,1,should provide more options,,,R_rke19eauelul4hX,266555
2022-04-30 08:15:22,2022-04-30 08:16:07,0,74.122.57.171,100,44,1,2022-04-30 08:16:07,R_3F2K9w9vFtqFtVL,,,,,39.0469,-77.4903,anonymous,EN,1,83,51,3,4,3,4,4,4,4,4,4,1,1,should provide more options,,,R_3F2K9w9vFtqFtVL,222963
2022-04-30 08:00:35,2022-04-30 08:17:16,0,185.162.74.216,100,1001,1,2022-04-30 08:17:16,R_1jrf88hlcuiYg3o,,,,,39.018,-77.539,anonymous,EN,1,88,30,4,6,4,4,5,4,3,5,4,2,2,It was good and interesting.,None,,R_1jrf88hlcuiYg3o,347467
2022-04-30 08:15:51,2022-04-30 08:18:09,0,172.58.83.239,100,138,1,2022-04-30 08:18:10,R_28IZRc2TQlk3Nyi,,,,,44.9402,-93.2188,anonymous,EN,1,60,17,6,3,4,1,5,5,5,5,4,1,3,I honestly didn't notice any,N/A,,R_28IZRc2TQlk3Nyi,296694
2022-04-30 08:21:06,2022-04-30 08:22:37,0,174.82.78.75,100,91,1,2022-04-30 08:22:38,R_1n77irBBMbvbNPY,,,,,32.6951,-97.269,anonymous,EN,1,33,0,6,3,4,4,5,5,5,5,3,2,3,none,no,,R_1n77irBBMbvbNPY,557864
2022-04-30 08:33:00,2022-04-30 08:34:27,0,208.207.182.169,100,86,1,2022-04-30 08:34:27,R_11gypIjDdXiRtYd,,,,,40.5978,-74.0001,anonymous,EN,1,64,32,7,4,,3,4,,4,3,5,3,1,none,no comment,,R_11gypIjDdXiRtYd,174672
2022-04-30 08:53:29,2022-04-30 08:54:08,0,24.35.78.57,100,39,1,2022-04-30 08:54:08,R_9Z8X7NSxNPjRRjH,,,,,47.6295,-122.3165,anonymous,EN,1,81,8,7,5,5,5,5,5,5,,4,2,2,none,none,,R_9Z8X7NSxNPjRRjH,565317
2022-04-30 08:55:45,2022-04-30 08:57:35,0,74.122.56.129,100,110,1,2022-04-30 08:57:36,R_wTYbivs7tCIMBYB,,,,,39.0469,-77.4903,anonymous,EN,1,89,74,2,1,3,4,5,4,5,,5,3,2,yes,no,,R_wTYbivs7tCIMBYB,185900
2022-04-30 09:06:20,2022-04-30 09:13:27,0,208.195.30.90,100,426,1,2022-04-30 09:13:27,R_1K2AbCJUO8oyTxv,,,,,39.2092,-76.6681,anonymous,EN,1,61,90,4,3,4,4,5,5,4,4,5,4,2,to improve comment quality and features.,"nothing, it was good.",,R_1K2AbCJUO8oyTxv,236592
2022-04-30 09:57:33,2022-04-30 10:01:20,0,100.12.176.43,100,227,1,2022-04-30 10:01:20,R_1JXgCcR072cw4ze,,,,,40.7465,-73.909,anonymous,EN,1,0,20,3,7,3,3,3,3,1,3,1,4,3,"I'm not sure if this is part of the change, but I think I've been exposed to less liberal extremist stances which is a very good thing if indeed it is part of the changes made. ",This was an interesting and engaging study.,,R_1JXgCcR072cw4ze,643109
2022-04-30 10:03:56,2022-04-30 10:07:41,0,73.160.14.40,100,225,1,2022-04-30 10:07:41,R_vVp5IrDt1xdzJ61,,,,,40.5833,-74.277,anonymous,EN,1,40,10,7,4,2,4,5,5,5,5,1,2,3,I don't think I noticed anything different. It seemed pretty normal.,It was easy to install. I didn't have any issues.,,R_vVp5IrDt1xdzJ61,374090
2022-04-30 10:16:02,2022-04-30 10:19:21,0,69.246.77.242,100,199,1,2022-04-30 10:19:21,R_UN5xVMxkVwgjGdb,,,,,32.3974,-93.8052,anonymous,EN,1,70,55,5,4,4,3,4,3,4,5,3,3,3,I have not noticed any change that stuck out to me.,I enjoyed participating in this study. Thank you! I hope that you have a great day!,,R_UN5xVMxkVwgjGdb,657147
2022-04-30 10:18:00,2022-04-30 10:19:50,0,108.202.77.206,100,110,1,2022-04-30 10:19:50,R_vw2eOfxn28PDWM1,,,,,38.1043,-122.2442,anonymous,EN,1,10,80,2,6,4,4,5,2,2,3,1,1,4,none,thanks,,R_vw2eOfxn28PDWM1,330577
2022-04-30 10:20:48,2022-04-30 10:23:44,0,69.127.161.171,100,176,1,2022-04-30 10:23:48,R_1QxRkP7FbKV7gZI,,,,,40.8703,-73.8525,anonymous,EN,1,96,0,7,1,4,4,3,5,5,4,2,2,3,"I didn't find any changes on my twitter, I have been seeing less bad news","no, I don't",,R_1QxRkP7FbKV7gZI,101129
2022-04-30 10:28:25,2022-04-30 10:30:33,0,81.161.4.117,100,127,1,2022-04-30 10:30:33,R_2AKB4kpEDCzfjtx,,,,,40.7662,-74.0178,anonymous,EN,1,91,16,1,6,5,3,3,5,4,3,3,2,1,no,none,,R_2AKB4kpEDCzfjtx,668217
2022-04-30 10:27:11,2022-04-30 10:37:41,0,81.161.6.28,100,629,1,2022-04-30 10:37:41,R_eagrdR0MOw8KNln,,,,,40.7662,-74.0178,anonymous,EN,1,92,17,6,1,5,4,3,5,5,4,3,1,1,None,none,,R_eagrdR0MOw8KNln,897338
2022-04-30 10:30:26,2022-04-30 10:43:55,0,73.120.87.6,100,809,1,2022-04-30 10:43:55,R_2VjPJd32mfJr0wt,,,,,36.0014,-83.9125,anonymous,EN,1,92,59,2,2,3,5,5,5,5,4,5,4,2,Twitter can vastly improve the signal-to-noise ratio for each user.,good,,R_2VjPJd32mfJr0wt,347870
2022-04-30 10:54:06,2022-04-30 11:00:42,0,75.41.166.226,100,396,1,2022-04-30 11:00:42,R_DTXsQxZur8yjPqx,,,,,35.2804,-98.9474,anonymous,EN,1,20,75,2,5,2,1,2,1,1,2,1,1,4,"No, I didnt notice any differences from before ",Everything was smooth,,R_DTXsQxZur8yjPqx,814297
2022-04-30 11:06:59,2022-04-30 11:23:09,0,208.218.231.226,100,969,1,2022-04-30 11:23:09,R_9QwA1i2komb6XQZ,,,,,39.9703,-75.0617,anonymous,EN,1,81,70,5,4,5,4,5,5,4,5,5,4,2,No,Nothing,,R_9QwA1i2komb6XQZ,965432
2022-04-30 11:26:59,2022-04-30 11:29:46,0,68.103.170.223,100,167,1,2022-04-30 11:29:47,R_3MxvjcpZKAZ6Utk,,,,,37.0687,-97.031,anonymous,EN,1,29,68,3,5,3,2,4,3,4,3,2,2,3,May have noticed some different accounts as recommended and things like that,"It was very straightforward and worked well. ",,R_3MxvjcpZKAZ6Utk,941009
2022-04-30 11:29:21,2022-04-30 11:31:06,0,98.226.108.16,100,105,1,2022-04-30 11:31:07,R_1cRFq6nD5AzI7tq,,,,,42.0128,-88.0967,anonymous,EN,1,67,25,5,4,4,2,5,5,2,4,1,2,2,In my opinion the political divide is much less than the last year,No,,R_1cRFq6nD5AzI7tq,597113
2022-04-30 11:28:36,2022-04-30 11:33:40,0,208.219.17.152,100,303,1,2022-04-30 11:33:40,R_6PEVNUhgbew5ycV,,,,,45.5411,-122.5605,anonymous,EN,1,91,16,4,1,5,5,3,3,4,5,5,2,1,No,nice,,R_6PEVNUhgbew5ycV,492731
2022-04-30 11:34:39,2022-04-30 11:37:14,0,208.218.229.146,100,155,1,2022-04-30 11:37:14,R_2D20TuU2BKejkE8,,,,,40.5175,-74.3991,anonymous,EN,1,89,61,2,1,5,4,4,3,4,5,5,2,2,"By personalizing the user experience, Twitter can vastly improve the signal-to-noise ratio for each user.",Good,,R_2D20TuU2BKejkE8,111170
2022-04-30 10:27:26,2022-04-30 11:40:48,0,81.161.7.252,100,4401,1,2022-04-30 11:40:48,R_24kiw0RndjgLktT,,,,,40.7662,-74.0178,anonymous,EN,1,92,79,3,1,,3,3,4,3,3,3,3,1,NOTHING,NONE,,R_24kiw0RndjgLktT,281121
2022-04-30 11:46:29,2022-04-30 11:50:54,0,81.161.4.166,100,265,1,2022-04-30 11:50:55,R_3RfoPuytcgYkg6p,,,,,40.7662,-74.0178,anonymous,EN,1,90,70,2,1,5,3,4,5,4,3,5,1,1,none,good experience,,R_3RfoPuytcgYkg6p,969363
2022-04-30 12:04:17,2022-04-30 12:05:07,0,72.222.148.58,100,49,1,2022-04-30 12:05:07,R_27vQNHLgE5tKigh,,,,,33.4336,-112.2763,anonymous,EN,1,91,74,3,1,3,3,3,3,4,4,3,3,1,none,none,,R_27vQNHLgE5tKigh,783300
2022-04-30 12:12:40,2022-04-30 12:14:03,0,173.170.197.182,100,82,1,2022-04-30 12:14:03,R_UGAP5dCYEABzYEF,,,,,28.3836,-82.511,anonymous,EN,1,40,60,4,4,4,4,5,3,5,3,1,2,4,i did not notice anything,no,,R_UGAP5dCYEABzYEF,285732
2022-04-30 12:07:53,2022-04-30 12:14:51,0,216.39.37.176,100,417,1,2022-04-30 12:14:51,R_3I4uXOCmfnD08gB,,,,,39.2842,-76.6918,anonymous,EN,1,100,62,3,1,2,5,4,5,4,5,,1,1,"Twitter can dramatically enhance the signal-to-noise ratio for each user by tailoring the user experience. By providing users with more relevant and timely content when they use the app, this will assist to reestablish the incentive of involvement",This extension is quite simple to use.,,R_3I4uXOCmfnD08gB,361206
2022-04-30 12:40:36,2022-04-30 12:42:26,0,52.128.53.190,100,109,1,2022-04-30 12:42:26,R_1IEkGSUqDjwM178,,,,,32.7822,-97.4969,anonymous,EN,1,0,90,1,7,5,5,5,1,3,2,1,1,4,I honestly don't think I noticed any. I just used Twitter like I normally did and was still seeing stories from sources that I normally see. I think it might have been a placebo.,"No, everything was streamlined and easy.",,R_1IEkGSUqDjwM178,621892
2022-04-30 21:21:28,2022-04-30 21:24:51,0,107.202.185.169,100,203,1,2022-04-30 21:24:51,R_xsixtrXbVUxYBoJ,,,,,41.8879,-88.1995,anonymous,EN,1,88,6,5,4,4,3,5,3,5,5,3,4,2,"I did not really notice any. Though, I was a bit more cognizant of what I was reading while on Twitter. ",I found the study itself interesting. The extension installation was also relatively easy.,,R_xsixtrXbVUxYBoJ,303899
2022-05-01 01:11:00,2022-05-01 01:26:00,0,143.198.69.84,100,899,1,2022-05-01 01:26:00,R_231VRix4VhyZdox,,,,,37.3931,-121.962,anonymous,EN,1,82,41,5,1,5,4,2,4,3,4,3,1,1,twitter have to develop their user interface because ui in twiiter social media is poor so new taging options sharing on different social media is expected,this studies is about politics,,R_231VRix4VhyZdox,949137
