X1	id	verified	verified_type	username	name	description	followers_count	following_count	tweet_count	listed_count	seed	withheld
137	1440641	TRUE	business	nytimesarts	New York Times Arts	Arts and entertainment news from The New York Times.	2698086	248	193364	18762	807095	NA
172	1877831	TRUE	business	nytimesworld	New York Times World	"Global news from The New York Times

Lee en español: https://t.co/le10ZtxEIP
阅读中文新闻简报: https://t.co/ToNL143zvh
Lisez en français: https://t.co/ooipOXGX3T"	2206283	803	295341	20361	807095	NA
183	25160944	TRUE	none	kashhill	Kashmir Hill	Privacy pragmatist. @nytimes journalist. Named after the Led Zep song. https://t.co/eszBwY7VJn DM: kashmir.hill@nytimes.com or kashhill@protonmail.com	267472	1774	22327	2665	807095	NA
198	14575107	TRUE	none	tmagazine	T Magazine	Of @nytimes fame. Follow @Tmagazine on Instagram: https://t.co/zW324YWSAw	1729643	842	33159	8996	807095	NA
222	16929349	TRUE	business	NYTFashion	NYT Fashion	Fashion news from The New York Times. Sign up for the Open Thread newsletter here: https://t.co/EKHEhnS7vv	947648	300	56142	8920	807095	NA
295	19107878	TRUE	none	GlennThrush	Glenn Thrush	New York Times DC correspondent, ex-POLITICO, ex-Newsday, ex-City Limits. Win-win lose-lose.	317967	5087	39333	5030	807095	NA
330	2975678883	TRUE	business	nytimeses	NYTimes en Español	"Esta cuenta ya no se administra activamente. Si te encantaba The New York Times en Español, suscríbete al boletín: 
https://t.co/cFonnKygF0"	583001	4358	26019	5540	807095	NA
331	93069110	TRUE	none	maggieNYT	Maggie Haberman	Senior Political Corresp NYT/analyst CNN/Author CONFIDENCE MAN: The Making of Donald Trump and the Breaking of America, Penguin maggie.haberman@nytimes.com	1662850	5919	274475	18888	807095	NA
429	30699754	TRUE	none	rcallimachi	Rukmini Callimachi	New York Times journalist currently on book leave. NBC analyst. Previously, 7 years covering ISIS & al-Qaeda, 7 years in Africa. Ex-AP bureau chief. Ex-refugee.	350935	5679	34665	5313	807095	NA
467	463765807	TRUE	none	Nate_Cohn	Nate Cohn	chief political analyst, @nytimes. writing about elections, public opinion and demographics for @UpshotNYT. polling and needling. PNW expat.	489278	1274	49712	10539	807095	NA
523	620632841	TRUE	none	nytchinese	纽约时报中文网	"纽约时报中文网官方推特。Official Twitter Account of The New York Times Chinese Website.
iPhone & iPad app: https://t.co/hzbwaOOxA6
Android app: https://t.co/NIusFpRU2S"	2494707	379	66452	8112	807095	NA
609	123327472	TRUE	none	peterbakernyt	Peter Baker	"Chief White House Correspondent for The New York Times and MSNBC analyst. Husband and co-author with @sbg1 of ""THE DIVIDER: Trump in the White House, 2017-2021"""	583831	3458	34638	6629	807095	NA
814	37291805	TRUE	none	FrankBruni	Frank Bruni	"Author, ""The Beauty of Dusk,"" in paperback on Feb., 7, 2023; Duke professor but UNC grad (it's complicated); @nytimes writer (https://t.co/HExSUfdBQP)"	346364	569	8361	4521	807095	NA
837	33792634	TRUE	none	andrewrsorkin	Andrew Ross Sorkin	@NYTimes Columnist/Editor & @SquawkCNBC Co-Anchor. Author, Too Big To Fail. Founder, @DealBook. Co-Creator, BILLIONS @Showtime. Co-Chair @NYPL's BLC. Proud Dad.	931326	3610	7891	8547	807095	NA
846	1434251	TRUE	none	nytimesbooks	New York Times Books	All things books from The New York Times. You like reading, we do too.	5585368	165	60509	18235	807095	NA
847	1879831	TRUE	none	NYTStyles	NYT Styles 💖	We're the NON-troll section of The New York Times. 🤯 Get it by Instagram —https://t.co/L05jy8OO3h ok???	660374	135	55211	8352	807095	NA
848	1754641	TRUE	none	nytimesbusiness	NYT Business	Financial, tech, media and other business news from The New York Times.	859668	478	251104	15515	807095	NA
849	1775731	TRUE	none	nytcooking	NYT Cooking and Food	This account is no longer active. For New York Times Cooking recipes, advice and inspiration, follow us on Instagram or Tiktok under AT nytcooking.	1427713	217	41110	10428	807095	NA
852	14237001	FALSE	none	frugaltraveler	The Frugal Traveler	Tweets from The New York Times' Frugal Traveler. Seeking out high style on a low budget.	441106	3164	8653	6403	807095	NA
860	14434063	TRUE	none	nytpolitics	NYT Politics	Political news from The New York Times. Sign up for the On Politics newsletter: https://t.co/TCVQQcGX92.	516578	225	144646	9630	807095	NA
296	310596714	TRUE	none	radioambulante	Radio Ambulante	Contamos tus historias: único podcast en español de @NPR / Creadores de @elhilopodcast, coproducido con @VICENews / Breaking the language barrier with @LupaApp.	337892	2534	51956	1122	5392522	NA
478	13784642	TRUE	business	nprbooks	NPR Books	NPR Books stories, the future of reading and what to read next. @petramatic forever. Tumblr: https://t.co/kLSmVfecNk. Email: books@npr.org	779886	380	17933	7607	5392522	NA
479	13787402	TRUE	business	nprscience	NPR Science Desk	Science news, commentary and conversation from NPR. Plus, a rad new podcast called #NPRShortWave! Subscribe now: https://t.co/lLI0fXx9Zk	260158	273	16514	4705	5392522	NA
480	13787352	TRUE	business	NPRHealth	NPR Health News	Health coverage from NPR's Science Desk	1023205	236	30605	11096	5392522	NA
672	564069706	TRUE	none	NPRKelly	Mary Louise Kelly	Host of @NPR's All Things Considered. Longtime national security correspondent. Author of https://t.co/XMPXx42Qce, out April 2023	269818	910	13735	1913	5392522	NA
843	5741722	TRUE	business	nprpolitics	NPR Politics	The latest on politics, policy, government and more from NPR. Check out the NPR Politics Podcast https://t.co/O5GCES2xXK and subscribe to our newsletter https://t.co/UDmhoic4zX	3011151	92278	110684	31241	5392522	NA
914	21918310	TRUE	business	npratc	All Things Considered	NPR's evening news magazine and home of #NPRConsiderThis.	336824	1370	19062	3736	5392522	NA
917	14985228	TRUE	none	petersagal	Peter Sagal	"Host of @WaitWait on @NPR. Author of ""The Incomplete Book of Running"" and ""The Book of Vice""

For speaking engagements:  https://t.co/YuV5fDJ3fh"	300266	917	74478	4603	5392522	NA
923	12844642	TRUE	business	allsongs	All Songs Considered	Looking for music to fall in love with, plus photos from the #TinyDesk. Tweets by @bobboilen, @NPRobin Hilton and @nprmusic staff.	399879	754	13833	7089	5392522	NA
988	115710058	TRUE	none	NPRinskeep	Steve Inskeep	@NPR. Imperfect Union: https://t.co/X2oEcfc37P	382756	3502	46888	4484	5392522	NA
1053	14062180	TRUE	business	NPRextra	nprextra	An extra dose of @NPR: a look behind the stories, plus corporate news, and announcements💫 #NPRLife	498771	1787	33770	8964	5392522	NA
22650	9636632	TRUE	none	kcrw	KCRW	KCRW is your trusted source for music discovery, NPR news, cultural exploration and informed public affairs.	488423	7685	60604	4331	5392522	NA
48058	20245775	TRUE	none	nprscottsimon	Scott Simon	Host NPR's Weekend Edition Saturday Author, SUNNYSIDE PLAZA, 1/21/20. Special Contributor CBS Sunday Morning. Husband, father. @nprweekend @upfirst	1039138	851	50006	5224	5392522	NA
50322	20150502	TRUE	business	MorningEdition	Morning Edition	NPR's morning news magazine. Listen live on your local public radio station.	270452	3350	55492	4033	5392522	NA
52654	19068720	FALSE	none	RareCat	Charles A. Tijou	Southern shore of Lake Ontario-Photographer/Writer/Artist/Collector/Sociologist/Treasure Hunter/BeachComber/VipESLTeacher/RCAChristianBornAgainPreachingElder	429686	479409	37311	3460	5392522	NA
61785	17467699	TRUE	blue	nonprofitorgs	@nonprofitorgs / Nonprofit Tech for Good	Nonprofit Tech for Good shares useful digital marketing and fundraising resources for nonprofits, NGOs, and charities worldwide.	777837	370262	34601	9500	5392522	NA
63668	10454572	TRUE	none	jennydeluxe	J(enna) Wortham	":officially on sabbatical: @NYTmag & ‘Still Processing’ & “Black Futures” with @museummammy. ""Work of Body"" with @penguinpress ⦇|| ⬘ ||⦈"	688549	3058	39449	6268	5392522	NA
114	21268897	TRUE	none	joshtpm	Josh Marshall	Founder and reigning monarch at TPM. Lapsed historian. Polk Award winner. ✡️ (@joshtpm@journa.host at mastodon)	389361	813	278025	7995	14717197	NA
20	121574367	TRUE	none	LisaMarieBoothe	Lisa Boothe 🇺🇸	📺 @FoxNews | 🎙 The Truth with Lisa Boothe @iHeartradio	824459	2948	47723	1825	1367531	NA
25	468646961	TRUE	none	TomiLahren	Tomi Lahren	Host of “Tomi Lahren is Fearless” @tlisfearless on @Outkick and @foxnews @foxnewsradio commentator	2326968	1299	22967	5456	1367531	NA
29	17800215	TRUE	blue	jasoninthehouse	Jason Chaffetz	Fox News Contributor. Author of They Never Let A Crisis Go To Waste, Power Grab & The Deep State. Fmr. Chairman, Oversight & Gov't Reform U.S. House of Reps	559357	1609	16409	3271	1367531	NA
43	819334191624101900	TRUE	business	jesseprimetime	Jesse Watters Primetime	Official Account for “Jesse Watters Primetime” hosted by @JesseBWatters airing weekdays 7pm ET on Fox News Channel🇺🇸	335447	175	4410	654	1367531	NA
50	43277789	TRUE	none	KennedyNation	Kennedy	Host of Kennedy on Fox Business Network; Author The Kennedy Chronicles: The Golden Age of MTV Through Rose Colored Glasses	528282	7571	17996	1861	1367531	NA
51	3195591187	TRUE	business	Gutfeldfox	Gutfeld!	Weeknights at 11/10c on @FoxNews	850611	27	6644	1245	1367531	NA
92	31746745	TRUE	business	FOX2News	FOX 2 Detroit	Detroit Breaking News, Weather and more from WJBK FOX 2. https://t.co/95QVFVYAYF #FOX2Detroit	401043	873	203179	1779	1367531	NA
94	16656350	TRUE	business	FOX4	FOX 4 NEWS	Breaking news & headlines from around North Texas on the official Twitter feed for KDFW FOX 4 NEWS and https://t.co/WIzOe7DbJY.	660892	727	232849	2240	1367531	NA
98	17836882	TRUE	business	FOX5Atlanta	FOX 5 Atlanta	More local news than any other station in the Atlanta area. Home to @GoodDayAtlanta @FOX5StormTeam @FOX5Sports @SKYFOXTraffic and more! #fox5atl	681961	1669	445409	2412	1367531	NA
102	2332354080	TRUE	none	SandraSmithFox	Sandra Smith	Co-anchor of AMERICA REPORTS 1-3pm ET on #FoxNews	272860	1632	9255	780	1367531	NA
108	208155240	TRUE	none	MariaBartiromo	Maria Bartiromo	Anchor, Global Markets Editor Mornings with Maria @MorningsMaria 6-9 AM et M-F on @FoxBusiness & @SundayFutures 10:00 AM et Sundays @FoxNews 2-time Emmy winner	1178575	1636	39412	5839	1367531	NA
112	2229044521	TRUE	none	LizMacDonaldFOX	Elizabeth MacDonald	Fox Business Evening Edit anchor, author book & play Skirting Heresy: The Life & Times of Margery Kempe debuted England 9/18, children’s book Tideon: A New Myth	290959	563	8442	271	1367531	NA
127	56561449	TRUE	none	JesseBWatters	Jesse Watters	@TheFive & @JessePrimetime on Fox News Channel #1 NYT Best Selling Author of “How I Saved The World” 📚	2236068	1378	13299	4511	1367531	NA
130	13918492	TRUE	business	fox5dc	FOX 5 DC	Stay ahead with news from across DC, Maryland, Virginia (and beyond). Got a news tip? Email fox5tips@foxtv.com or call 202-895-3000.	341900	5899	376536	2520	1367531	NA
134	11265832	TRUE	business	FOX2now	FOX2now	The official Twitter page for KTVI FOX 2 News St. Louis. Breaking news, #STL stories, video, photo galleries. Follow our reporters for more.	258805	1786	276877	1865	1367531	NA
140	281610530	TRUE	business	Varneyco	Varney & Co.	Airing Weekdays at 9AM ET on the Fox Business Network. Note: These tweets come from Varney & Co. production team, not Stuart himself.	639966	773	19229	1673	1367531	NA
150	186646579	TRUE	none	ainsleyearhardt	Ainsley Earhardt	"Hayden's Mama, Co-Host of @FOXandFriends from 6-9AM ET Mon-Fri on @FoxNews and author of 3 NY Times best sellers and the upcoming ""I’m So Glad You Were Born"""	517672	510	11140	1542	1367531	NA
154	50769180	TRUE	none	IngrahamAngle	Laura Ingraham	Mom, author, host, The Ingraham Angle, 10p ET @FoxNews. Retweets do not = Endorsements	4553007	452	52218	14347	1367531	NA
161	56749157	TRUE	none	pdoocy	Peter Doocy	White House Correspondent, FOX News Channel @foxnews	318877	2268	4816	1194	1367531	NA
163	112047805	TRUE	blue	brithume	Brit Hume	Chief Political Analyst, Fox News Channel. Arguments welcome. Name callers & verbal abusers blocked.	1377795	911	26983	6060	1367531	NA
167	21010214	TRUE	none	BillHemmer	BILL HEMMER	“America’s Newsroom” 9-11am ET @foxnews Tell a million people. We take all viewers. Instagram: @billhemmer	554316	647	11005	2779	1367531	NA
170	9648652	TRUE	business	FOXLA	FOX 11 Los Angeles	Official FOX 11 Los Angeles account for #LA News. Send news tips to fox11news@fox.com, DM @foxladesk or call 310-584-2025. Follow @GDLA, too!	375064	15410	246612	3308	1367531	NA
178	43919633	TRUE	none	kilmeade	Brian Kilmeade	Co-anchor, Fox & Friends host, The Brian Kilmeade Show, One Nation host, NY Times Best Selling Author.	794485	4365	25686	2576	1367531	NA
188	21536398	TRUE	none	GreggJarrett	Gregg Jarrett	Legal and political analyst for Fox News Channel. Author of THE RUSSIA HOAX and WITCH HUNT, available now: https://t.co/ubSNZAlnqV.	826672	114	3019	2072	1367531	NA
200	29458079	TRUE	none	JudgeJeanine	Jeanine Pirro	Judge Pirro is a highly respected District Attorney, Judge, author & renowned champion of the underdog. She Co-hosts the #1 Fox News Show “The Five”	3127192	490	19315	6785	1367531	NA
202	223970563	TRUE	none	TeamCavuto	Neil Cavuto	The Official Twitter Account for all things Neil Cavuto, handled by his staff. Catch Neil: M-F 12PM ET @FoxBusiness, M-F 4PM ET & Sat 10AM ET @FoxNews	606235	204	13461	3131	1367531	NA
207	37764422	TRUE	business	foxnation	Fox Nation	Fox Nation is an entertainment streaming service with unmatched access to exclusive shows featuring your favorite Fox hosts. America is Streaming. Get the app.	403941	547	2915	3587	1367531	NA
