	AssignmentId	WorkerId	HITId	AssignmentStatus	AutoApprovalTime	AcceptTime	SubmitTime	ApprovalTime	Answer
10	3NLZY2D53Y20BOW35J3XW32JNGQLQN	A3CGQOJC28OVGN	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 18:00:27-04:00	2022-04-24 17:57:33-04:00	2022-04-24 18:00:27-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3QYk0aYPeIN7Bb0</FreeText></Answer></QuestionFormAnswers>"
11	3ZV9H2YQQMKOFH20BMY3S6QOBVG3WV	A2A7SXCBDFP73X	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 18:00:38-04:00	2022-04-24 17:57:05-04:00	2022-04-24 18:00:38-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2alhsa6jPe1aEKD</FreeText></Answer></QuestionFormAnswers>"
12	3YDTZAI2W6TGWC51ECE19LS0TI341I	A1FHS282JP487T	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 18:10:50-04:00	2022-04-24 17:57:39-04:00	2022-04-24 18:10:50-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_qxpRtEdm0MqnbTr</FreeText></Answer></QuestionFormAnswers>"
13	39JEC75373EZDSYEE548Z7B4AZRVCB	A3NX66U9RAY2GQ	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 18:12:41-04:00	2022-04-24 17:58:37-04:00	2022-04-24 18:12:41-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_wYMlbHxvIqWRpAJ</FreeText></Answer></QuestionFormAnswers>"
14	3JNQLM5FTDZJJ5UI38DW0L4G7AD2LR	A39M9PZLH3J1NF	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 18:13:08-04:00	2022-04-24 18:00:09-04:00	2022-04-24 18:13:08-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_sX0MzInHJ3MQtdD</FreeText></Answer></QuestionFormAnswers>"
15	3I02618YA9JIU2IIEKG9NL8SVBXPUU	AD42EYBVN65RF	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 18:15:58-04:00	2022-04-24 18:01:24-04:00	2022-04-24 18:15:58-04:00	2022-04-27 12:53:56-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2WAahpN3Z4Dk74w</FreeText></Answer></QuestionFormAnswers>"
16	3FE7TXL1LR0UA2AVVDLSH73AHG4Q28	A9HQ3E0F2AGVO	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 19:26:52-04:00	2022-04-24 19:24:58-04:00	2022-04-24 19:26:52-04:00	2022-04-27 12:53:56-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3LZLgI9y02KCvpw</FreeText></Answer></QuestionFormAnswers>"
17	3DQQ64TANPYVM67N9KVA59TPGRFWP7	A2Z6NL0CTXY0ZB	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 20:11:51-04:00	2022-04-24 20:08:04-04:00	2022-04-24 20:11:51-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2tc0eiEpdM7i67b</FreeText></Answer></QuestionFormAnswers>"
18	3B2X28YI35SVOXR7ZX05CVPNBL96BX	A26B6SWLH19YX6	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 20:27:55-04:00	2022-04-24 20:23:47-04:00	2022-04-24 20:27:55-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_Yc9BDxA06M5xK8h</FreeText></Answer></QuestionFormAnswers>"
19	36W0OB37H5R73KE41U7CV4LGB2BHZF	A3PRZRK9IC5CBI	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 20:39:37-04:00	2022-04-24 20:35:04-04:00	2022-04-24 20:39:37-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1Lw0ZFKMO8Q0Oeu</FreeText></Answer></QuestionFormAnswers>"
20	3LRLIPTPEZMX4274VNUAR3AZUYDAKG	A3GNJBISE159VU	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 22:31:22-04:00	2022-04-24 22:18:08-04:00	2022-04-24 22:31:22-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1dugf3SceYRQk81</FreeText></Answer></QuestionFormAnswers>"
21	3Y4W8Q93L8X9IK4SE1ZJJDTMVZIDV8	A2BHBGDJSVD2UK	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 22:46:04-04:00	2022-04-24 22:37:07-04:00	2022-04-24 22:46:04-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3r3dRIXgdxNX9Ye</FreeText></Answer></QuestionFormAnswers>"
22	3X65QVEQI90WHNMK0122CYD2J17CLR	A1W7I6FN183I8F	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-27 23:24:45-04:00	2022-04-24 23:17:56-04:00	2022-04-24 23:24:45-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_26i5sFBoFrBz6Pc</FreeText></Answer></QuestionFormAnswers>"
23	3E13VNJ1NW8A4J4GZ1G53M2JY10I19	A11AWRR6TDC93K	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-28 01:40:10-04:00	2022-04-25 01:33:04-04:00	2022-04-25 01:40:10-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2zJaM9ovUFx5vIq</FreeText></Answer></QuestionFormAnswers>"
24	34HJIJKLPE9WIOLZLQYQG9ZGIOPV4H	A3E0IFFHYQPLFE	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-28 06:33:50-04:00	2022-04-25 06:30:30-04:00	2022-04-25 06:33:50-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3hfrDrJe92k8yjO</FreeText></Answer></QuestionFormAnswers>"
25	3SITXWYCN4M87CB30K9VC8279Y0XBT	A2O2FWIVH7W8RB	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-29 00:58:08-04:00	2022-04-26 00:32:28-04:00	2022-04-26 00:58:08-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_pRxfanleteeUEdr</FreeText></Answer></QuestionFormAnswers>"
26	3R2UR8A0IJTSQ60C4PEHIS26G09OXK	AKSJ3C5O3V9RB	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-29 09:41:32-04:00	2022-04-26 08:52:26-04:00	2022-04-26 09:41:32-04:00	2022-04-27 12:53:56-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1N3Q8Zkee1Wevot</FreeText></Answer></QuestionFormAnswers>"
27	3IAS3U3I0OT76W86CVO2MI8BWSKB2N	A2D8LB2RPJXMSQ	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-29 11:16:42-04:00	2022-04-26 11:04:04-04:00	2022-04-26 11:16:42-04:00	2022-04-27 12:53:54-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_BXRqMiHUxybBjnr</FreeText></Answer></QuestionFormAnswers>"
28	3BEFOD78WF6DS1RQ7YXZTDG3S6RM4S	A3MIDLO5S7FU06	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-29 11:35:56-04:00	2022-04-26 11:27:06-04:00	2022-04-26 11:35:56-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1FkTgFOYcFPUx6J</FreeText></Answer></QuestionFormAnswers>"
29	3WR9XG3T6COU7YK33SVAAVJDXGR74V	A2S4CVETZQ2H4F	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-29 11:42:36-04:00	2022-04-26 11:10:38-04:00	2022-04-26 11:42:36-04:00	2022-04-27 12:53:55-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2tgHw2Jmgz1JbdC</FreeText></Answer></QuestionFormAnswers>"
